NAME,RATINGS,LINK
Angrezi Patiyalaa,"4.6
DINING",https://www.zomato.com/mumbai/angrezi-patiyalaa-khopat-thane-west-thane?zrp_bid=1136781&zrp_pid=14&zrp_cid=10027548
The Terrace - A Maiden Affair,"4.5
DINING",https://www.zomato.com/mumbai/the-terrace-a-maiden-affair-andheri-lokhandwala?zrp_bid=1136701&zrp_pid=14&zrp_cid=10027468
Rocky Star Cocktail Bar,"4.5
DINING",https://www.zomato.com/mumbai/rocky-star-cocktail-bar-worli?zrp_bid=1129090&zrp_pid=14&zrp_cid=10019857
Bastian,"4.7
DINING",https://www.zomato.com/mumbai/bastian-linking-road-bandra-west?zrp_bid=1136798&zrp_pid=14&zrp_cid=10027565
Ishaara,"4.7
DINING",https://www.zomato.com/mumbai/ishaara-lower-parel?zrp_bid=1137115&zrp_pid=14&zrp_cid=10027882
London Taxi,"4.5
DINING",https://www.zomato.com/mumbai/london-taxi-lower-parel?zrp_bid=1137127&zrp_pid=14&zrp_cid=10027894
Yazu - Pan Asian Supper Club,"4.8
DINING",https://www.zomato.com/mumbai/yazu-pan-asian-supper-club-oshiwara?zrp_bid=1138614&zrp_pid=14&zrp_cid=10029381
KOKO,"4.7
DINING",https://www.zomato.com/mumbai/koko-1-lower-parel?zrp_bid=1152827&zrp_pid=14&zrp_cid=10043594
Glocal Junction,"4.5
DINING",https://www.zomato.com/mumbai/glocal-junction-worli?zrp_bid=1137085&zrp_pid=14&zrp_cid=10027852
Foo Phoenix Palladium,"4.6
DINING",https://www.zomato.com/mumbai/foo-phoenix-palladium-lower-parel?zrp_bid=1136707&zrp_pid=14&zrp_cid=10027474
Veranda,"4.5
DINING",https://www.zomato.com/mumbai/veranda-pali-hill-bandra-west?zrp_bid=1114493&zrp_pid=14&zrp_cid=10005264
The Fusion Kitchen,"4.9
DINING",https://www.zomato.com/mumbai/the-fusion-kitchen-borivali-west?zrp_bid=1152681&zrp_pid=14&zrp_cid=10043448
Gateway Taproom,"4.6
DINING",https://www.zomato.com/mumbai/gateway-taproom-bandra-kurla-complex?zrp_bid=0&zrp_pid=14
.,.,.
Something's Fishy - The International By Tunga,"4.5
DINING",https://www.zomato.com/mumbai/somethings-fishy-the-international-by-tunga-mahakali?zrp_bid=0&zrp_pid=14
70 Beans,"4.7
DINING",https://www.zomato.com/mumbai/70-beans-1-vashi-navi-mumbai?zrp_bid=0&zrp_pid=14
.,.,.
Peshawri - ITC Maratha,"4.9
DINING",https://www.zomato.com/mumbai/peshawri-itc-maratha-chakala?zrp_bid=0&zrp_pid=14
.,.,.
.,.,.
Mondo,"4.6
DINING",https://www.zomato.com/mumbai/mondo-1-dahisar-west?zrp_bid=0&zrp_pid=14
Chin Chin Chu,"4.5
DINING",https://www.zomato.com/mumbai/chin-chin-chu-lower-parel?zrp_bid=0&zrp_pid=14
Toast & Tonic,"4.5
DINING",https://www.zomato.com/mumbai/toast-tonic-bandra-kurla-complex?zrp_bid=0&zrp_pid=14
Sea Lounge - The Taj Mahal Palace,"4.7
DINING",https://www.zomato.com/mumbai/sea-lounge-the-taj-mahal-palace-colaba?zrp_bid=0&zrp_pid=14
Lord Of The Drinks,"4.5
DINING",https://www.zomato.com/mumbai/lord-of-the-drinks-worli?zrp_bid=0&zrp_pid=14
Crystal,"4.6
DINING",https://www.zomato.com/mumbai/crystal-chowpatty?zrp_bid=0&zrp_pid=14
The Butler And The Bayleaf,"4.6
DINING",https://www.zomato.com/mumbai/the-butler-and-the-bayleaf-juhu?zrp_bid=0&zrp_pid=14
Kebabs & Kurries - ITC Grand Central,"4.6
DINING",https://www.zomato.com/mumbai/kebabs-kurries-itc-grand-central-parel?zrp_bid=0&zrp_pid=14
Woodside Inn,"4.6
DINING",https://www.zomato.com/mumbai/woodside-inn-colaba?zrp_bid=0&zrp_pid=14
Hotel Ram Ashraya,"4.9
DINING",https://www.zomato.com/mumbai/hotel-ram-ashraya-matunga-east?zrp_bid=0&zrp_pid=14
Madeira & Mime,"4.9
DINING",https://www.zomato.com/mumbai/madeira-mime-powai?zrp_bid=0&zrp_pid=14
The Burger Pit,"4.5
DINING",https://www.zomato.com/mumbai/the-burger-pit-1-borivali-west?zrp_bid=0&zrp_pid=14
Slink & Bardot,"4.5
DINING",https://www.zomato.com/mumbai/slink-bardot-worli?zrp_bid=0&zrp_pid=14
Plum by Bent Chair,"4.6
DINING",https://www.zomato.com/mumbai/plum-by-bent-chair-worli?zrp_bid=0&zrp_pid=14
.,.,.
Romano's - JW Marriott Mumbai Sahar,"4.8
DINING",https://www.zomato.com/mumbai/romanos-jw-marriott-mumbai-sahar-chakala?zrp_bid=0&zrp_pid=14
Shakey Wakey,"4.5
DINING",https://www.zomato.com/mumbai/shakey-wakey-oshiwara?zrp_bid=0&zrp_pid=14
August Cafe,"4.5
DINING",https://www.zomato.com/mumbai/august-cafe-andheri-lokhandwala?zrp_bid=0&zrp_pid=14
India Bistro,"4.6
DINING",https://www.zomato.com/mumbai/india-bistro-chembur?zrp_bid=0&zrp_pid=14
Pop Tate's,"4.7
DINING",https://www.zomato.com/mumbai/pop-tates-ghodbunder-road-thane?zrp_bid=0&zrp_pid=14
O Pedro,"4.8
DINING",https://www.zomato.com/mumbai/o-pedro-bandra-kurla-complex?zrp_bid=0&zrp_pid=14
Swati Snacks,"4.5
DINING",https://www.zomato.com/mumbai/swati-snacks-tardeo?zrp_bid=0&zrp_pid=14
Guru Kripa,"4.5
DINING",https://www.zomato.com/mumbai/guru-kripa-sion?zrp_bid=0&zrp_pid=14
Burma Burma,"4.8
DINING",https://www.zomato.com/mumbai/burma-burma-fort?zrp_bid=0&zrp_pid=14
Steamy Mugs,"4.5
DINING",https://www.zomato.com/mumbai/steamy-mugs-chembur?zrp_bid=0&zrp_pid=14
.,.,.
"Thai Pavilion - President, Mumbai - IHCL SeleQtions","4.7
DINING",https://www.zomato.com/mumbai/thai-pavilion-president-mumbai-ihcl-seleqtions-cuffe-parade?zrp_bid=0&zrp_pid=14
Tanatan,"4.6
DINING",https://www.zomato.com/mumbai/tanatan-dadar-shivaji-park?zrp_bid=0&zrp_pid=14
Imbiss,"4.8
DINING",https://www.zomato.com/mumbai/imbiss-hill-road-bandra-west?zrp_bid=0&zrp_pid=14
Masala Library,"4.7
DINING",https://www.zomato.com/mumbai/masala-library-bandra-kurla-complex?zrp_bid=0&zrp_pid=14
Wasabi By Morimoto - The Taj Mahal Palace,"4.8
DINING",https://www.zomato.com/mumbai/wasabi-by-morimoto-the-taj-mahal-palace-colaba?zrp_bid=0&zrp_pid=14
The Bombay Curry,"4.5
DINING",https://www.zomato.com/mumbai/the-bombay-curry-3-khar?zrp_bid=0&zrp_pid=14
Cafe Churchill,"4.5
DINING",https://www.zomato.com/mumbai/cafe-churchill-colaba?zrp_bid=0&zrp_pid=14
Le 15 Patisserie,"4.5
DINING",https://www.zomato.com/mumbai/le-15-patisserie-pali-hill-bandra-west?zrp_bid=0&zrp_pid=14
Thangabali,"4.7
DINING",https://www.zomato.com/mumbai/thangabali-mahim?zrp_bid=0&zrp_pid=14
Dakshinayan,"4.6
DINING",https://www.zomato.com/mumbai/dakshinayan-juhu?zrp_bid=0&zrp_pid=14
Indian BBQ Co.,"4.5
DINING",https://www.zomato.com/mumbai/indian-bbq-co-veera-desai-area?zrp_bid=0&zrp_pid=14
Blue's Kitchen By Loima,"4.7
DINING",https://www.zomato.com/mumbai/blues-kitchen-by-loima-pali-hill-bandra-west?zrp_bid=0&zrp_pid=14
Toit,"4.5
DINING",https://www.zomato.com/mumbai/toit-lower-parel?zrp_bid=0&zrp_pid=14
Maharashtra Lunch Home,"4.6
DINING",https://www.zomato.com/mumbai/maharashtra-lunch-home-nerul-navi-mumbai?zrp_bid=0&zrp_pid=14
The Munchbox,"4.5
DINING",https://www.zomato.com/mumbai/the-munchbox-malad-west?zrp_bid=0&zrp_pid=14
All Stir Fry - Gordon House Hotel,"4.6
DINING",https://www.zomato.com/mumbai/all-stir-fry-gordon-house-hotel-colaba?zrp_bid=0&zrp_pid=14
A.Rama Nayak's Udipi Shri Krishna Boarding,"4.8
DINING",https://www.zomato.com/mumbai/a-rama-nayaks-udipi-shri-krishna-boarding-matunga-east?zrp_bid=0&zrp_pid=14
Cafe Madras,"4.8
DINING",https://www.zomato.com/mumbai/cafe-madras-matunga-east?zrp_bid=0&zrp_pid=14
Jyran - Sofitel,"4.5
DINING",https://www.zomato.com/mumbai/jyran-sofitel-bandra-kurla-complex?zrp_bid=0&zrp_pid=14
Bombay Salad Co.,"4.7
DINING",https://www.zomato.com/bombaysalad?zrp_bid=0&zrp_pid=14
Spesso Gourmet Kitchen,"4.5
DINING",https://www.zomato.com/mumbai/spesso-gourmet-kitchen-nariman-point?zrp_bid=0&zrp_pid=14
Kofuku,"4.5
DINING",https://www.zomato.com/mumbai/kofuku-linking-road-bandra-west?zrp_bid=0&zrp_pid=14
Gajalee,"4.5
DINING",https://www.zomato.com/mumbai/gajalee-vile-parle-east?zrp_bid=0&zrp_pid=14
Family Tree,"4.6
DINING",https://www.zomato.com/mumbai/family-tree-panch-pakhadi-thane-west?zrp_bid=0&zrp_pid=14
Hindu Lunch Home,"4.5
DINING",https://www.zomato.com/mumbai/hindu-lunch-home-ghansoli-navi-mumbai?zrp_bid=0&zrp_pid=14
Jia The Oriental Kitchen,"4.6
DINING",https://www.zomato.com/mumbai/jia-the-oriental-kitchen-colaba?zrp_bid=0&zrp_pid=14
Canto Cafe & Bar,"4.6
DINING",https://www.zomato.com/mumbai/canto-cafe-bar-charni-road?zrp_bid=0&zrp_pid=14
The Sassy Spoon,"4.5
DINING",https://www.zomato.com/mumbai/the-sassy-spoon-nariman-point?zrp_bid=0&zrp_pid=14
.,.,.
The Fatty Bao,"4.5
DINING",https://www.zomato.com/mumbai/the-fatty-bao-linking-road-bandra-west?zrp_bid=0&zrp_pid=14
The Burger Brasserie,"4.7
DINING",https://www.zomato.com/mumbai/the-burger-brasserie-4-bungalows?zrp_bid=0&zrp_pid=14
Taftoon Bar & Kitchen,"4.5
DINING",https://www.zomato.com/mumbai/taftoon-bar-kitchen-bandra-kurla-complex?zrp_bid=0&zrp_pid=14
Chaitanya,"4.7
DINING",https://www.zomato.com/mumbai/chaitanya-dadar-west?zrp_bid=0&zrp_pid=14
Goa Portuguesa,"4.5
DINING",https://www.zomato.com/mumbai/goa-portuguesa-mahim?zrp_bid=0&zrp_pid=14
The Sahib Room & Kipling Bar - The St. Regis Mumbai,"4.6
DINING",https://www.zomato.com/mumbai/the-sahib-room-kipling-bar-the-st-regis-mumbai-lower-parel?zrp_bid=0&zrp_pid=14
Trishna,"4.6
DINING",https://www.zomato.com/mumbai/trishna-fort?zrp_bid=0&zrp_pid=14
.,.,.
Royal China,"4.5
DINING",https://www.zomato.com/mumbai/royal-china-fort?zrp_bid=0&zrp_pid=14
Malhar Tribes,"4.6
DINING",https://www.zomato.com/mumbai/malhar-tribes-marol?zrp_bid=0&zrp_pid=14
AliBaba Cafe,"4.5
DINING",https://www.zomato.com/mumbai/alibaba-cafe-jogeshwari?zrp_bid=0&zrp_pid=14
.,.,.
Bombay To Barcelona Library Café,"4.9
DINING",https://www.zomato.com/mumbai/bombay-to-barcelona-library-caf%C3%A9-marol?zrp_bid=0&zrp_pid=14
Taj Icecream,"4.6
DINING",https://www.zomato.com/mumbai/taj-icecream-cst?zrp_bid=0&zrp_pid=14
Dum Pukht - ITC Maratha,"4.5
DINING",https://www.zomato.com/mumbai/dum-pukht-itc-maratha-chakala?zrp_bid=0&zrp_pid=14
Natural Ice Cream,"4.7
DINING",https://www.zomato.com/mumbai/natural-ice-cream-powai?zrp_bid=0&zrp_pid=14
Butter Chicken Factory,"4.6
DINING",https://www.zomato.com/mumbai/butter-chicken-factory-pali-hill-bandra-west?zrp_bid=0&zrp_pid=14
Khow Chow,"4.8
DINING",https://www.zomato.com/mumbai/khow-chow-linking-road-bandra-west?zrp_bid=0&zrp_pid=14
Farid Seekh Kabab Centre,"4.6
DINING",https://www.zomato.com/mumbai/farid-seekh-kabab-centre-jogeshwari?zrp_bid=0&zrp_pid=14
Garde Manger Cafe,"4.6
DINING",https://www.zomato.com/mumbai/garde-manger-cafe-vile-parle-east?zrp_bid=0&zrp_pid=14
Hotel Deluxe,"4.6
DINING",https://www.zomato.com/mumbai/hotel-deluxe-fort?zrp_bid=0&zrp_pid=14
