,NAME,RATINGS,LINK
0,['Foo Phoenix Palladium'],['4.6\nDINING'],['https://www.zomato.com/mumbai/foo-phoenix-palladium-lower-parel?zrp_bid=1136707&zrp_pid=14&zrp_cid=10027474']
1,['Bombay To Barcelona Library Café'],['4.9\nDINING'],['https://www.zomato.com/mumbai/bombay-to-barcelona-library-caf%C3%A9-marol?zrp_bid=1137065&zrp_pid=14&zrp_cid=10027832']
2,['Indian BBQ Co.'],['4.5\nDINING'],['https://www.zomato.com/mumbai/indian-bbq-co-veera-desai-area?zrp_bid=1104134&zrp_pid=14&zrp_cid=1076475']
3,['Indian BBQ Co.'],['4.5\nDINING'],['https://www.zomato.com/mumbai/indian-bbq-co-veera-desai-area?zrp_bid=1104134&zrp_pid=14&zrp_cid=1076475']
4,['Indian BBQ Co.'],['4.5\nDINING'],['https://www.zomato.com/mumbai/indian-bbq-co-veera-desai-area?zrp_bid=1104134&zrp_pid=14&zrp_cid=1076475']
5,['The Fusion Kitchen'],['4.9\nDINING'],['https://www.zomato.com/mumbai/the-fusion-kitchen-borivali-west?zrp_bid=1152681&zrp_pid=14&zrp_cid=10043448']
6,['The Munchbox'],['4.5\nDINING'],['https://www.zomato.com/mumbai/the-munchbox-malad-west?zrp_bid=1137045&zrp_pid=14&zrp_cid=10027812']
7,['Prithvi Cafe'],['4.5\nDINING'],['https://www.zomato.com/mumbai/prithvi-cafe-juhu?zrp_bid=1136067&zrp_pid=14&zrp_cid=10026834']
8,['The Fusion Kitchen'],['4.9\nDINING'],['https://www.zomato.com/mumbai/the-fusion-kitchen-borivali-west?zrp_bid=1152681&zrp_pid=14&zrp_cid=10043448']
9,['Toit'],['4.5\nDINING'],['https://www.zomato.com/mumbai/toit-lower-parel?zrp_bid=1136891&zrp_pid=14&zrp_cid=10027658']
10,['The Terrace - A Maiden Affair'],['4.5\nDINING'],['https://www.zomato.com/mumbai/the-terrace-a-maiden-affair-andheri-lokhandwala?zrp_bid=1136701&zrp_pid=14&zrp_cid=10027468']
11,['The Fusion Kitchen'],['4.9\nDINING'],['https://www.zomato.com/mumbai/the-fusion-kitchen-borivali-west?zrp_bid=1152681&zrp_pid=14&zrp_cid=10043448']
12,['Foo Phoenix Palladium'],['4.6\nDINING'],['https://www.zomato.com/mumbai/foo-phoenix-palladium-lower-parel?zrp_bid=1136707&zrp_pid=14&zrp_cid=10027474']
13,['Yazu - Pan Asian Supper Club'],['4.8\nDINING'],['https://www.zomato.com/mumbai/yazu-pan-asian-supper-club-oshiwara?zrp_bid=1136887&zrp_pid=14&zrp_cid=10027654']
14,['Foo Phoenix Palladium'],['4.6\nDINING'],['https://www.zomato.com/mumbai/foo-phoenix-palladium-lower-parel?zrp_bid=1136707&zrp_pid=14&zrp_cid=10027474']
15,['Indian BBQ Co.'],['4.5\nDINING'],['https://www.zomato.com/mumbai/indian-bbq-co-veera-desai-area?zrp_bid=1104134&zrp_pid=14&zrp_cid=1076475']
16,"[""Something's Fishy - The International By Tunga""]",['4.5\nDINING'],['https://www.zomato.com/mumbai/somethings-fishy-the-international-by-tunga-mahakali?zrp_bid=1136824&zrp_pid=14&zrp_cid=10027591']
17,['Bombay To Barcelona Library Café'],['4.9\nDINING'],['https://www.zomato.com/mumbai/bombay-to-barcelona-library-caf%C3%A9-marol?zrp_bid=1137065&zrp_pid=14&zrp_cid=10027832']
18,['Toit'],['4.5\nDINING'],['https://www.zomato.com/mumbai/toit-lower-parel?zrp_bid=1136891&zrp_pid=14&zrp_cid=10027658']
19,['Prithvi Cafe'],['4.5\nDINING'],['https://www.zomato.com/mumbai/prithvi-cafe-juhu?zrp_bid=1136067&zrp_pid=14&zrp_cid=10026834']
20,['The Tanjore Tiffin Room'],['4.8\nDINING'],['https://www.zomato.com/mumbai/the-tanjore-tiffin-room-versova?zrp_bid=985369&zrp_pid=14&zrp_cid=957327']
