NAME,RATINGS,LINK
Bologna,"4.8
DINING",https://www.zomato.com/bangalore/bologna-indiranagar-bangalore?zrp_bid=962750&zrp_pid=14&zrp_cid=934602
Brahma Brews,"4.6
DINING",https://www.zomato.com/bangalore/brahma-brews-jp-nagar-bangalore?zrp_bid=1136816&zrp_pid=14&zrp_cid=10027583
Dyu Art Cafe,"4.5
DINING",https://www.zomato.com/bangalore/dyu-art-cafe-koramangala-8th-block-bangalore?zrp_bid=1137064&zrp_pid=14&zrp_cid=10027831
Toit,"4.8
DINING",https://www.zomato.com/bangalore/toit-indiranagar?zrp_bid=1137039&zrp_pid=14&zrp_cid=10027806
The Bier Library,"4.5
DINING",https://www.zomato.com/bangalore/the-bier-library-koramangala-6th-block-bangalore?zrp_bid=1136786&zrp_pid=14&zrp_cid=10027553
Stories Brewery & Kitchen,"4.5
DINING",https://www.zomato.com/bangalore/stories-brewery-kitchen-btm-bangalore?zrp_bid=1136880&zrp_pid=14&zrp_cid=10027647
The Pump House,"4.5
DINING",https://www.zomato.com/bangalore/the-pump-house-1-jp-nagar-bangalore?zrp_bid=1136827&zrp_pid=14&zrp_cid=10027594
Smoke House Deli,"4.6
DINING",https://www.zomato.com/SmokeHouseDeli-Indiranagar?zrp_bid=1128677&zrp_pid=14&zrp_cid=10019444
ShakesBierre,"4.5
DINING",https://www.zomato.com/bangalore/shakesbierre-1-brigade-road-bangalore?zrp_bid=1136815&zrp_pid=14&zrp_cid=10027582
The Reservoire,"4.5
DINING",https://www.zomato.com/bangalore/the-reservoire-koramangala-5th-block?zrp_bid=1136697&zrp_pid=14&zrp_cid=10027464
Hard Rock Cafe,"4.7
DINING",https://www.zomato.com/bangalore/hard-rock-cafe-st-marks-road?zrp_bid=1136862&zrp_pid=14&zrp_cid=10027629
Burma Burma,"4.9
DINING",https://www.zomato.com/bangalore/burma-burma-indiranagar-bangalore?zrp_bid=1136840&zrp_pid=14&zrp_cid=10027607
.,.,.
Brik Oven,"4.7
DINING",https://www.zomato.com/bangalore/brik-oven-church-street?zrp_bid=0&zrp_pid=14
Output Bengaluru,"4.5
DINING",https://www.zomato.com/bangalore/output-bengaluru-marathahalli-bangalore?zrp_bid=0&zrp_pid=14
Oota Bangalore,"4.6
DINING",https://www.zomato.com/bangalore/oota-bangalore-whitefield?zrp_bid=0&zrp_pid=14
Buff Buffet Buff,"4.5
DINING",https://www.zomato.com/bangalore/buff-buffet-buff-koramangala-5th-block?zrp_bid=0&zrp_pid=14
Manjit Da Dhaba,"4.5
DINING",https://www.zomato.com/bangalore/manjit-da-dhaba-frazer-town?zrp_bid=0&zrp_pid=14
Brewklyn Microbrewery,"4.5
DINING",https://www.zomato.com/bangalore/brewklyn-microbrewery-1-kalyan-nagar?zrp_bid=0&zrp_pid=14
The Pizza Bakery - Brew & Eatery,"4.6
DINING",https://www.zomato.com/bangalore/the-pizza-bakery-brew-eatery-indiranagar-bangalore?zrp_bid=0&zrp_pid=14
.,.,.
Maravanthe,"4.5
DINING",https://www.zomato.com/bangalore/maravanthe-indiranagar?zrp_bid=0&zrp_pid=14
Mamagoto,"4.5
DINING",https://www.zomato.com/bangalore/mamagoto-indiranagar?zrp_bid=0&zrp_pid=14
The Bangalore Cafe,"4.5
DINING",https://www.zomato.com/bangalore/the-bangalore-cafe-1-shanti-nagar-bangalore?zrp_bid=0&zrp_pid=14
Tipsy Bull - The Bar Exchange,"4.5
DINING",https://www.zomato.com/bangalore/tipsy-bull-the-bar-exchange-jp-nagar-bangalore?zrp_bid=0&zrp_pid=14
Onesta,"4.5
DINING",https://www.zomato.com/bangalore/onesta-jp-nagar?zrp_bid=0&zrp_pid=14
Rim Naam - The Oberoi,"4.9
DINING",https://www.zomato.com/bangalore/rim-naam-the-oberoi-mg-road-bangalore?zrp_bid=0&zrp_pid=14
CTR Shri Sagar,"4.9
DINING",https://www.zomato.com/bangalore/ctr-shri-sagar-malleshwaram-bangalore?zrp_bid=0&zrp_pid=14
Art of Delight,"4.6
DINING",https://www.zomato.com/bangalore/art-of-delight-residency-road?zrp_bid=0&zrp_pid=14
Third Wave Coffee,"4.6
DINING",https://www.zomato.com/bangalore/third-wave-coffee-koramangala-4th-block-bangalore?zrp_bid=0&zrp_pid=14
.,.,.
Bombay Brasserie,"4.5
DINING",https://www.zomato.com/bangalore/bombay-brasserie-indiranagar?zrp_bid=0&zrp_pid=14
Hae Kum Gang,"4.5
DINING",https://www.zomato.com/bangalore/hae-kum-gang-2-brigade-road-bangalore?zrp_bid=0&zrp_pid=14
Basil Bistro,"4.5
DINING",https://www.zomato.com/bangalore/basil-bistro-hsr-bangalore?zrp_bid=0&zrp_pid=14
.,.,.
.,.,.
Mavalli Tiffin Room (MTR),"4.7
DINING",https://www.zomato.com/bangalore/mavalli-tiffin-room-mtr-basavanagudi-bangalore?zrp_bid=0&zrp_pid=14
.,.,.
Smoor,"4.6
DINING",https://www.zomato.com/bangalore/smoor-2-indiranagar-bangalore?zrp_bid=0&zrp_pid=14
Connie's Restaurant & Steakhouse,"4.5
DINING",https://www.zomato.com/bangalore/connies-restaurant-steakhouse-kammanahalli-bangalore?zrp_bid=0&zrp_pid=14
Jalsa Gold,"4.5
DINING",https://www.zomato.com/bangalore/jalsa-gold-kadubeesanahalli-bangalore?zrp_bid=0&zrp_pid=14
Here & Now,"4.7
DINING",https://www.zomato.com/bangalore/here-now-hsr?zrp_bid=0&zrp_pid=14
Toast & Tonic,"4.7
DINING",https://www.zomato.com/bangalore/toast-tonic-richmond-road-bangalore?zrp_bid=0&zrp_pid=14
Santé Spa Cuisine,"4.8
DINING",https://www.zomato.com/bangalore/sant%C3%A9-spa-cuisine-domlur-bangalore?zrp_bid=0&zrp_pid=14
Sattvam,"4.5
DINING",https://www.zomato.com/bangalore/sattvam-sadashiv-nagar?zrp_bid=0&zrp_pid=14
Soda Bottle Opener Wala,"4.5
DINING",https://www.zomato.com/bangalore/soda-bottle-opener-wala-lavelle-road-bangalore?zrp_bid=0&zrp_pid=14
Ironhill Bengaluru,"4.5
DINING",https://www.zomato.com/bangalore/ironhill-bengaluru-marathahalli-bangalore?zrp_bid=0&zrp_pid=14
.,.,.
Brahmin's Coffee Bar,"4.9
DINING",https://www.zomato.com/bangalore/brahmins-coffee-bar-basavanagudi?zrp_bid=0&zrp_pid=14
.,.,.
Ranch,"4.5
DINING",https://www.zomato.com/bangalore/ranch-mysore-road-bangalore?zrp_bid=0&zrp_pid=14
Lucky Chan - Dimsum & Sushi Parlour,"4.5
DINING",https://www.zomato.com/bangalore/lucky-chan-dimsum-sushi-parlour-indiranagar-bangalore?zrp_bid=0&zrp_pid=14
.,.,.
Oyster Bar & Kitchen,"4.6
DINING",https://www.zomato.com/bangalore/oyster-bar-kitchen-hsr-bangalore?zrp_bid=0&zrp_pid=14
Milano Ice Cream,"4.9
DINING",https://www.zomato.com/bangalore/milano-ice-cream-indiranagar?zrp_bid=0&zrp_pid=14
O.G. Variar & Sons,"4.9
DINING",https://www.zomato.com/bangalore/o-g-variar-sons-rajajinagar?zrp_bid=0&zrp_pid=14
Red Rhino,"4.6
DINING",https://www.zomato.com/bangalore/red-rhino-whitefield-bangalore?zrp_bid=0&zrp_pid=14
Arogya Ahaara,"4.8
DINING",https://www.zomato.com/bangalore/arogya-ahaara-hsr?zrp_bid=0&zrp_pid=14
Hakuna Matata,"4.5
DINING",https://www.zomato.com/bangalore/hakuna-matata-jp-nagar?zrp_bid=0&zrp_pid=14
Millers 46,"4.6
DINING",https://www.zomato.com/bangalore/millers-46-vasanth-nagar?zrp_bid=0&zrp_pid=14
Vidyarthi Bhavan,"4.5
DINING",https://www.zomato.com/bangalore/vidyarthi-bhavan-basavanagudi?zrp_bid=0&zrp_pid=14
