NAME,RATINGS,LINK
Indian BBQ Co.,"4.5
DINING",https://www.zomato.com/mumbai/indian-bbq-co-veera-desai-area?zrp_bid=1104134&zrp_pid=14&zrp_cid=1076475
Bastian,"4.7
DINING",https://www.zomato.com/mumbai/bastian-linking-road-bandra-west?zrp_bid=1136798&zrp_pid=14&zrp_cid=10027565
Oh! Calcutta,"4.5
DINING",https://www.zomato.com/mumbai/oh-calcutta-tardeo?zrp_bid=1128630&zrp_pid=14&zrp_cid=10019397
The Terrace - A Maiden Affair,"4.5
DINING",https://www.zomato.com/mumbai/the-terrace-a-maiden-affair-andheri-lokhandwala?zrp_bid=1136701&zrp_pid=14&zrp_cid=10027468
Glocal Junction,"4.5
DINING",https://www.zomato.com/mumbai/glocal-junction-worli?zrp_bid=1137085&zrp_pid=14&zrp_cid=10027852
Something's Fishy - The International By Tunga,"4.5
DINING",https://www.zomato.com/mumbai/somethings-fishy-the-international-by-tunga-mahakali?zrp_bid=1136824&zrp_pid=14&zrp_cid=10027591
Veranda,"4.5
DINING",https://www.zomato.com/mumbai/veranda-pali-hill-bandra-west?zrp_bid=1114493&zrp_pid=14&zrp_cid=10005264
Ishaara,"4.7
DINING",https://www.zomato.com/mumbai/ishaara-lower-parel?zrp_bid=1137115&zrp_pid=14&zrp_cid=10027882
Yazu - Pan Asian Supper Club,"4.7
DINING",https://www.zomato.com/mumbai/yazu-pan-asian-supper-club-oshiwara?zrp_bid=1136887&zrp_pid=14&zrp_cid=10027654
Toit,"4.5
DINING",https://www.zomato.com/mumbai/toit-lower-parel?zrp_bid=1136891&zrp_pid=14&zrp_cid=10027658
Bombay To Barcelona Library Café,"4.9
DINING",https://www.zomato.com/mumbai/bombay-to-barcelona-library-caf%C3%A9-marol?zrp_bid=1137065&zrp_pid=14&zrp_cid=10027832
Angrezi Patiyalaa,"4.6
DINING",https://www.zomato.com/mumbai/angrezi-patiyalaa-khopat-thane-west-thane?zrp_bid=1136781&zrp_pid=14&zrp_cid=10027548
Taj Icecream,"4.6
DINING",https://www.zomato.com/mumbai/taj-icecream-cst?zrp_bid=0&zrp_pid=14
.,.,.
The Tanjore Tiffin Room,"4.8
DINING",https://www.zomato.com/mumbai/the-tanjore-tiffin-room-versova?zrp_bid=0&zrp_pid=14
18th Century Rooftop Restro & Bar,"4.5
DINING",https://www.zomato.com/mumbai/18th-century-rooftop-restro-bar-andheri-lokhandwala?zrp_bid=0&zrp_pid=14
Masala Library,"4.7
DINING",https://www.zomato.com/mumbai/masala-library-bandra-kurla-complex?zrp_bid=0&zrp_pid=14
Khow Chow,"4.8
DINING",https://www.zomato.com/mumbai/khow-chow-linking-road-bandra-west?zrp_bid=0&zrp_pid=14
Yauatcha,"4.9
DINING",https://www.zomato.com/mumbai/yauatcha-bandra-kurla-complex?zrp_bid=0&zrp_pid=14
Hakkasan,"4.7
DINING",https://www.zomato.com/mumbai/hakkasan-linking-road-bandra-west?zrp_bid=0&zrp_pid=14
Hotel Deluxe,"4.6
DINING",https://www.zomato.com/mumbai/hotel-deluxe-fort?zrp_bid=0&zrp_pid=14
Guilt Trip,"4.5
DINING",https://www.zomato.com/mumbai/guilt-trip-khar?zrp_bid=0&zrp_pid=14
The Sahib Room & Kipling Bar - The St. Regis Mumbai,"4.6
DINING",https://www.zomato.com/mumbai/the-sahib-room-kipling-bar-the-st-regis-mumbai-lower-parel?zrp_bid=0&zrp_pid=14
Jia The Oriental Kitchen,"4.6
DINING",https://www.zomato.com/mumbai/jia-the-oriental-kitchen-colaba?zrp_bid=0&zrp_pid=14
By the Mekong - The St. Regis Mumbai,"4.5
DINING",https://www.zomato.com/mumbai/by-the-mekong-the-st-regis-mumbai-lower-parel?zrp_bid=0&zrp_pid=14
.,.,.
Imbiss,"4.8
DINING",https://www.zomato.com/mumbai/imbiss-hill-road-bandra-west?zrp_bid=0&zrp_pid=14
Rocky Star Cocktail Bar,"4.5
DINING",https://www.zomato.com/mumbai/rocky-star-cocktail-bar-worli?zrp_bid=0&zrp_pid=14
Malhar Tribes,"4.6
DINING",https://www.zomato.com/mumbai/malhar-tribes-marol?zrp_bid=0&zrp_pid=14
Woodside Inn,"4.6
DINING",https://www.zomato.com/mumbai/woodside-inn-colaba?zrp_bid=0&zrp_pid=14
Lord Of The Drinks,"4.5
DINING",https://www.zomato.com/mumbai/lord-of-the-drinks-worli?zrp_bid=0&zrp_pid=14
Steamy Mugs,"4.5
DINING",https://www.zomato.com/mumbai/steamy-mugs-chembur?zrp_bid=0&zrp_pid=14
Toast & Tonic,"4.5
DINING",https://www.zomato.com/mumbai/toast-tonic-bandra-kurla-complex?zrp_bid=0&zrp_pid=14
.,.,.
JW Café - JW Marriott Mumbai Sahar,"4.8
DINING",https://www.zomato.com/mumbai/jw-caf%C3%A9-jw-marriott-mumbai-sahar-chakala?zrp_bid=0&zrp_pid=14
KOKO,"4.7
DINING",https://www.zomato.com/mumbai/koko-1-lower-parel?zrp_bid=0&zrp_pid=14
Quesso Ristorante,"4.5
DINING",https://www.zomato.com/mumbai/quesso-ristorante-oshiwara?zrp_bid=0&zrp_pid=14
Gallops,"4.5
DINING",https://www.zomato.com/mumbai/gallops-mahalaxmi?zrp_bid=0&zrp_pid=14
Jyran - Sofitel,"4.5
DINING",https://www.zomato.com/mumbai/jyran-sofitel-bandra-kurla-complex?zrp_bid=0&zrp_pid=14
Stacks And Racks,"4.8
DINING",https://www.zomato.com/mumbai/stacks-and-racks-malad-west?zrp_bid=0&zrp_pid=14
Golden Dragon - The Taj Mahal Palace,"4.5
DINING",https://www.zomato.com/mumbai/golden-dragon-the-taj-mahal-palace-colaba?zrp_bid=0&zrp_pid=14
Shakey Wakey,"4.5
DINING",https://www.zomato.com/mumbai/shakey-wakey-oshiwara?zrp_bid=0&zrp_pid=14
