NAME,RATINGS,LINK
The Barkhana,"4.6
DINING",https://www.zomato.com/pune/the-barkhana-wakad?zrp_bid=975927&zrp_pid=14&zrp_cid=947828
Circuit House,"4.6
DINING",https://www.zomato.com/pune/circuit-house-balewadi?zrp_bid=949168&zrp_pid=14&zrp_cid=920999
I Amsterdam,"4.5
DINING",https://www.zomato.com/pune/i-amsterdam-hinjawadi?zrp_bid=809408&zrp_pid=14&zrp_cid=780680
Aaoji Khhaoji,"4.5
DINING",https://www.zomato.com/pune/aaoji-khhaoji-khadki?zrp_bid=0&zrp_pid=14
Senses - Marriott Suites Pune,"4.5
DINING",https://www.zomato.com/pune/senses-marriott-suites-pune-mundhwa?zrp_bid=0&zrp_pid=14
Level 5 Bistro and Bar,"4.8
DINING",https://www.zomato.com/pune/level-5-bistro-and-bar-erandwane?zrp_bid=0&zrp_pid=14
The Urban Foundry,"4.6
DINING",https://www.zomato.com/pune/the-urban-foundry-balewadi?zrp_bid=0&zrp_pid=14
Shizusan,"4.6
DINING",https://www.zomato.com/pune/shizusan-viman-nagar?zrp_bid=0&zrp_pid=14
Savya Rasa,"4.9
DINING",https://www.zomato.com/pune/savya-rasa-koregaon-park?zrp_bid=0&zrp_pid=14
"I'm Lion, Strictly Non-Veg","4.5
DINING",https://www.zomato.com/pune/im-lion-strictly-non-veg-bavdhan?zrp_bid=0&zrp_pid=14
Vohuman Cafe,"4.8
DINING",https://www.zomato.com/pune/vohuman-cafe-dhole-patil-road?zrp_bid=0&zrp_pid=14
Arkie's Born Bakers,"4.5
DINING",https://www.zomato.com/pune/arkies-born-bakers-bibvewadi?zrp_bid=0&zrp_pid=14
Pop Tate's,"4.8
DINING",https://www.zomato.com/pune/pop-tates-viman-nagar?zrp_bid=0&zrp_pid=14
Malaka Spice,"4.6
DINING",https://www.zomato.com/pune/malaka-spice-koregaon-park?zrp_bid=0&zrp_pid=14
Mr Rabbit's Bar & Burrow,"4.5
DINING",https://www.zomato.com/pune/mr-rabbits-bar-burrow-baner?zrp_bid=0&zrp_pid=14
Turque - Sayaji Hotel,"4.7
DINING",https://www.zomato.com/pune/turque-sayaji-hotel-wakad?zrp_bid=0&zrp_pid=14
Santè Spa Cuisine,"4.9
DINING",https://www.zomato.com/pune/sant%C3%A8-spa-cuisine-koregaon-park?zrp_bid=0&zrp_pid=14
Feast - Sheraton Grand,"4.5
DINING",https://www.zomato.com/pune/feast-sheraton-grand-bund-garden?zrp_bid=0&zrp_pid=14
Andaground,"4.8
DINING",https://www.zomato.com/pune/andaground-aundh?zrp_bid=0&zrp_pid=14
Barometer,"4.6
DINING",https://www.zomato.com/pune/barometer-kothrud?zrp_bid=0&zrp_pid=14
Buon Cibo- The Italian Cafe,"4.6
DINING",https://www.zomato.com/pune/buon-cibo-the-italian-cafe-baner?zrp_bid=0&zrp_pid=14
